account_no,customer_name,branch_id,branch_name,brand,model_code,vehicle_category,gross_principal_amount,down_payment,principal_loan_amount,term_years,term_months,factor_rate,total_payable,monthly_amortization,current_term,remaining_terms,term_progress_ratio,monthly_income,dti_ratio,employment_type,residential_ownership,length_of_stay_years,marital_status,dependents_count,payment_method_preference,behavioral_archetype,ci_negative_flags,has_phone_bounce,rebate_streak,late_penalty_streak,overdue_count,partial_payment_ratio,on_time_reliability,current_status,total_paid_gross,total_penalties_paid,total_paid_net,principal_paid,remaining_principal,total_arrears,early_settlement_amount,early_savings,buyout_propensity,will_default_90d,early_settlement_target
ACC-2026952,"Aquino, Melvin",1,LALA,SUZUKI,RAIDER 150 FI,Underbone,118400.0,17600.0,100800.0,2,24,1.48,149184.0,6216.0,17,7,0.708,34100.0,0.182,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),2.7,Married,2,Field Agent Collector,PRIME_CONSISTENT,0,0,17,0,0,1.0,0.967,active,105672.0,0.0,105672.0,71400.0,29400.0,0.0,43512.0,0.0,LOW,0,0
ACC-2026953,"Espino, Cesar",2,KAPATAGAN,YAMAHA,MIO GEAR 125,Scooter,77900.0,12200.0,65700.0,2,24,1.48,97236.0,4051.5,18,6,0.75,36300.0,0.112,Skilled Tradesman / Welder / Carpenter,Rented House / Apartment,6.2,Married,2,Cash at Counter,PRIME_CONSISTENT,1,0,3,0,0,0.97,0.833,active,70739.19,0.0,70739.19,47796.75,17903.25,0.0,26496.81,0.0,LOW,0,0
ACC-2026954,"Ramos, Rolando",3,TUBOD,HONDA,ADV160,Adventure Scooter,169900.0,35600.0,134300.0,2,24,1.48,198764.0,8281.83,22,2,0.917,57500.0,0.144,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,5.6,Married,2,GCash / Maya,ADVANCE_PREPAYER,0,0,13,0,0,1.0454545454545454,1.0,active,190482.09,0.0,190482.09,128704.11,5595.89,0.0,8281.92,0.0,HIGH,0,1
ACC-2026955,"Bautista, Maria",3,TUBOD,SUZUKI,BURGMAN STREET 125,Maxi-Scooter,86400.0,23000.0,63400.0,1,12,1.26,79884.0,6657.0,8,4,0.667,39700.0,0.168,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),3.1,Married,1,GCash / Maya,PRIME_CONSISTENT,0,0,8,0,0,1.0,0.956,active,53256.0,0.0,53256.0,42266.67,21133.33,0.0,26628.0,0.0,LOW,0,0
ACC-2026956,"Aquino, Joy",2,KAPATAGAN,YAMAHA,MIO FAZZIO,Retro Scooter,93900.0,18500.0,75400.0,1,12,1.26,95004.0,7917.0,10,2,0.833,48400.0,0.164,BPO / Tech / Remote Specialist,Living with Parents / Family Compound,3.6,Married,0,Field Agent Collector,PRIME_CONSISTENT,0,0,10,0,0,1.0,0.966,active,79170.0,0.0,79170.0,62833.33,12566.67,0.0,15834.0,0.0,HIGH,0,1
ACC-2026957,"Navarro, Rodel",2,KAPATAGAN,YAMAHA,MIO SPORTY,Scooter,75400.0,18800.0,56600.0,3,36,1.72,97352.0,2704.22,4,32,0.111,35600.0,0.076,Tricycle / Habal-Habal / Courier Driver,Owned (Clean Land Title),7.3,Married,2,GCash / Maya,PRIME_CONSISTENT,0,0,2,1,0,0.97,0.907,active,10492.37,200.0,10292.37,5983.94,50616.06,0.0,63776.24,23283.38,LOW,0,0
ACC-2026958,"Dela Cruz, Marilou",1,LALA,HONDA,PCX160,Maxi-Scooter,133500.0,36100.0,97400.0,1,12,1.26,122724.0,10227.0,4,8,0.333,59200.0,0.173,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),4.8,Single,2,Cash at Counter,PRIME_CONSISTENT,0,0,4,1,0,0.97,0.856,active,39680.76,200.0,39480.76,31333.94,66066.06,0.0,83243.24,0.0,LOW,0,0
ACC-2026959,"Navarro, Maricel",2,KAPATAGAN,KAWASAK,CLICK 125I,Scooter,85000.0,22400.0,62600.0,3,36,1.72,107672.0,2990.89,12,24,0.333,39100.0,0.076,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,19.0,Single,0,Field Agent Collector,PRIME_CONSISTENT,0,0,12,0,0,1.0,0.947,active,35890.68,0.0,35890.68,20866.67,41733.33,0.0,61765.33,10016.0,MEDIUM,0,1
ACC-2026960,"Reyes, Danilo",3,TUBOD,SUZUKI,SMASH 115,Underbone,62400.0,9300.0,53100.0,1,12,1.26,66906.0,5575.5,6,6,0.5,61400.0,0.091,Healthcare / Nurse / Medical Staff,Owned (Clean Land Title),2.8,Married,2,Cash at Counter,PRIME_CONSISTENT,0,0,6,0,0,1.0,0.999,active,33453.0,0.0,33453.0,26550.0,26550.0,0.0,33453.0,0.0,LOW,0,0
ACC-2026961,"Espino, Bryan",1,LALA,HONDA,CT100B,Backbone/Tricycle,59000.0,10600.0,48400.0,3,36,1.72,83248.0,2312.44,29,7,0.806,55200.0,0.042,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,6.5,Married,2,Cash at Counter,ADVANCE_PREPAYER,0,0,24,0,0,1.0689655172413792,1.0,active,71685.64,0.0,71685.64,41677.7,6722.3,0.0,11562.36,0.0,LOW,0,0
ACC-2026962,"Valdez, Ramil",1,LALA,SUZUKI,SMASH 115,Underbone,59400.0,11800.0,47600.0,2,24,1.48,70448.0,2935.33,9,15,0.375,55900.0,0.053,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,4.3,Single,2,GCash / Maya,PRIME_CONSISTENT,0,0,9,0,0,1.0,0.99,active,26417.97,0.0,26417.97,17849.98,29750.02,0.0,37485.03,6545.0,LOW,0,0
ACC-2026963,"De Leon, Bryan",1,LALA,YAMAHA,SNIPER 155,Sport Underbone,126900.0,12800.0,114100.0,2,24,1.48,168868.0,7036.17,3,21,0.125,49000.0,0.144,Private Corporate / Bank / Office Staff,Living with Parents / Family Compound,9.2,Married,1,GCash / Maya,PRIME_CONSISTENT,0,0,3,0,0,1.0,0.97,active,21108.51,0.0,21108.51,14262.51,99837.49,0.0,125795.24,21964.25,LOW,0,0
ACC-2026964,"Dela Cruz, Michael",1,LALA,HONDA,PCX160,Maxi-Scooter,138000.0,23000.0,115000.0,2,24,1.48,170200.0,7091.67,12,12,0.5,52800.0,0.134,Government / Public Teacher / Uniformed,Owned (Clean Land Title),4.2,Head of Household,0,Cash at Counter,PRIME_CONSISTENT,0,0,12,0,0,1.0,0.944,active,85100.04,0.0,85100.04,57500.03,57499.97,0.0,85099.96,0.0,MEDIUM,0,1
ACC-2026965,"Dela Cruz, Rodel",2,KAPATAGAN,YAMAHA,MIO SPORTY,Scooter,73900.0,7700.0,66200.0,2,24,1.48,97976.0,4082.33,19,5,0.792,77800.0,0.052,BPO / Tech / Remote Specialist,Living with Parents / Family Compound,8.7,Married,0,GCash / Maya,ADVANCE_PREPAYER,0,0,21,0,0,1.1052631578947367,1.0,active,85728.93,0.0,85728.93,57924.95,8275.05,0.0,12247.07,0.0,LOW,0,0
ACC-2026966,"De Leon, Bryan",3,TUBOD,HONDA,PCX160,Maxi-Scooter,138000.0,37600.0,100400.0,2,24,1.48,148592.0,6191.33,6,18,0.25,54900.0,0.113,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),9.5,Married,2,Cash at Counter,PRIME_CONSISTENT,0,0,6,0,0,1.0,0.98,active,37147.98,0.0,37147.98,25099.99,75300.01,0.0,94878.01,16566.0,LOW,0,0
ACC-2026967,"Ramos, Jose",3,TUBOD,HONDA,BEAT PREMIUM,Scooter,72400.0,12200.0,60200.0,3,36,1.72,103544.0,2876.22,16,20,0.444,61000.0,0.047,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),3.8,Married,2,Cash at Counter,PRIME_CONSISTENT,0,0,9,0,0,1.0,0.978,active,46019.52,0.0,46019.52,26755.53,33444.47,0.0,49497.82,8026.67,LOW,0,0
ACC-2026968,"Santos, Gemma",1,LALA,KAWASAK,P24KK,Backbone/Tricycle,60500.0,13200.0,47300.0,2,24,1.48,70004.0,2916.83,17,7,0.708,42200.0,0.069,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,6.3,Single,1,Bank Transfer,PRIME_CONSISTENT,0,0,6,0,0,1.0,0.984,active,49586.11,0.0,49586.11,33504.13,13795.87,0.0,20417.89,0.0,LOW,0,0
ACC-2026969,"Tolentino, Ana",3,TUBOD,SUZUKI,SMASH 115,Underbone,60900.0,9300.0,51600.0,3,36,1.72,88752.0,2465.33,33,3,0.917,41900.0,0.059,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),9.5,Single,2,Cash at Counter,PRIME_CONSISTENT,0,0,4,0,0,1.0,0.986,active,81355.89,0.0,81355.89,47299.94,4300.06,0.0,7396.1,0.0,LOW,0,0
ACC-2026970,"Mendoza, Jennifer",2,KAPATAGAN,HONDA,WAVE RSX,Underbone,67900.0,13500.0,54400.0,3,36,1.72,93568.0,2599.11,20,16,0.556,28500.0,0.091,Skilled Tradesman / Welder / Carpenter,Living with Parents / Family Compound,7.6,Married,4,Cash at Counter,PRIME_CONSISTENT,0,0,3,1,0,0.99,0.837,active,51462.38,200.0,51262.38,29803.71,24596.29,0.0,36402.51,5903.11,LOW,0,0
ACC-2026971,"Mercado, Shirley",1,LALA,YAMAHA,AEROX 155,Sport Scooter,123900.0,21900.0,102000.0,1,12,1.26,128520.0,10710.0,4,8,0.333,20100.0,0.533,Tricycle / Habal-Habal / Courier Driver,Owned (Clean Land Title),13.1,Married,2,GCash / Maya,PRIME_CONSISTENT,0,0,2,0,0,1.0,0.829,active,42840.0,0.0,42840.0,34000.0,68000.0,0.0,85680.0,0.0,LOW,0,0
ACC-2026972,"Ramos, Maricel",1,LALA,KAWASAK,CLICK 125I,Scooter,80500.0,20500.0,60000.0,2,24,1.48,88800.0,3700.0,16,8,0.667,54800.0,0.068,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),9.7,Married,2,Bank Transfer,PRIME_CONSISTENT,1,0,6,0,0,1.0,0.962,active,59200.0,0.0,59200.0,40000.0,20000.0,0.0,29600.0,0.0,LOW,0,0
ACC-2026973,"Mercado, Ana",3,TUBOD,SUZUKI,RAIDER 150 FI,Underbone,118400.0,31200.0,87200.0,3,36,1.72,149984.0,4166.22,8,28,0.222,69000.0,0.06,BPO / Tech / Remote Specialist,Owned (Clean Land Title),2.0,Married,1,Cash at Counter,PRIME_CONSISTENT,0,0,8,0,0,1.0,0.945,active,33329.76,0.0,33329.76,19377.77,67822.23,0.0,85456.01,31198.23,LOW,0,0
ACC-2026974,"Mendoza, Michael",1,LALA,KAWASAK,P24KK,Backbone/Tricycle,59000.0,15800.0,43200.0,2,24,1.48,63936.0,2664.0,2,22,0.083,73400.0,0.036,Government / Public Teacher / Uniformed,Owned (Clean Land Title),17.3,Married,0,GCash / Maya,PRIME_CONSISTENT,0,0,2,0,0,1.0,0.972,active,5328.0,0.0,5328.0,3600.0,39600.0,0.0,49896.0,8712.0,LOW,0,0
ACC-2026975,"Mercado, Cristina",3,TUBOD,YAMAHA,MIO FAZZIO,Retro Scooter,95400.0,13500.0,81900.0,3,36,1.72,140868.0,3913.0,29,7,0.806,73300.0,0.053,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,5.2,Married,2,Cash at Counter,PRIME_CONSISTENT,0,0,9,0,0,1.0,0.977,active,113477.0,0.0,113477.0,65975.0,15925.0,0.0,27391.0,0.0,LOW,0,0
ACC-2026976,"Lim, Maricel",3,TUBOD,HONDA,PCX160,Maxi-Scooter,132000.0,36300.0,95700.0,1,12,1.26,120582.0,10048.5,4,8,0.333,35000.0,0.287,Healthcare / Nurse / Medical Staff,Owned (Clean Land Title),8.8,Married,0,Cash at Counter,PRIME_CONSISTENT,0,0,4,0,0,1.0,0.977,active,40194.0,0.0,40194.0,31900.0,63800.0,0.0,80388.0,0.0,LOW,0,0
ACC-2026977,"Ramos, Rolando",2,KAPATAGAN,YAMAHA,SNIPER 155,Sport Underbone,125400.0,16900.0,108500.0,2,24,1.48,160580.0,6690.83,6,18,0.25,72200.0,0.093,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,3.1,Married,1,Cash at Counter,ADVANCE_PREPAYER,0,0,7,0,0,1.1666666666666667,1.0,active,46835.81,0.0,46835.81,31645.82,76854.18,0.0,96836.27,16907.92,LOW,0,0
ACC-2026978,"De Leon, Cristina",2,KAPATAGAN,YAMAHA,MIO GEAR 125,Scooter,79400.0,20600.0,58800.0,3,36,1.72,101136.0,2809.33,10,26,0.278,27400.0,0.103,Retail Store / Security / Service Crew,Owned (Clean Land Title),15.9,Single,4,GCash / Maya,PRIME_CONSISTENT,1,0,2,1,0,0.99,0.931,active,27812.37,200.0,27612.37,16053.7,42746.3,0.0,53860.34,19663.3,LOW,0,0
ACC-2026979,"Macapagal, Lito",2,KAPATAGAN,SUZUKI,SMASH 115,Underbone,59400.0,6500.0,52900.0,1,12,1.26,66654.0,5554.5,11,1,0.917,48700.0,0.114,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),3.2,Married,3,Bank Transfer,PRIME_CONSISTENT,0,0,10,0,0,1.0,0.982,active,61099.5,0.0,61099.5,48491.67,4408.33,0.0,5554.5,0.0,HIGH,0,1
ACC-2026980,"Retiza, Karen",2,KAPATAGAN,HONDA,TMX125 ALPHA,Backbone/Utility,54900.0,14200.0,40700.0,3,36,1.72,70004.0,1944.56,18,18,0.5,50200.0,0.039,Healthcare / Nurse / Medical Staff,Owned (Clean Land Title),6.4,Married,2,Cash at Counter,PRIME_CONSISTENT,0,0,9,0,0,1.0,0.97,active,35002.08,0.0,35002.08,20350.05,20349.95,0.0,30117.93,4883.98,LOW,0,0
ACC-2026981,"Perez, Lito",1,LALA,YAMAHA,MIO FAZZIO,Retro Scooter,90900.0,16100.0,74800.0,3,36,1.72,128656.0,3573.78,7,29,0.194,53900.0,0.066,Government / Public Teacher / Uniformed,Informal Settler / Mortgaged / Tenant,7.4,Single,3,Cash at Counter,PRIME_CONSISTENT,0,0,1,1,0,1.0,0.922,active,25016.46,200.0,24816.46,14428.17,60371.83,0.0,76068.51,27771.04,LOW,0,0
ACC-2026982,"Abad, Alexander",2,KAPATAGAN,SUZUKI,SMASH 115,Underbone,63900.0,14200.0,49700.0,2,24,1.48,73556.0,3064.83,8,16,0.333,59100.0,0.052,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),2.2,Single,3,GCash / Maya,PRIME_CONSISTENT,0,0,7,0,0,1.0,0.998,active,24518.64,0.0,24518.64,16566.65,33133.35,0.0,41748.02,7289.34,LOW,0,0
ACC-2026983,"Santos, Rolando",2,KAPATAGAN,KAWASAKI,ROUSER NS125,Sport Backbone,80500.0,9200.0,71300.0,2,24,1.48,105524.0,4396.83,16,8,0.667,20300.0,0.217,Tricycle / Habal-Habal / Courier Driver,Living with Parents / Family Compound,4.4,Single,1,Cash at Counter,PRIME_CONSISTENT,0,0,3,0,0,0.97,0.865,active,68238.8,0.0,68238.8,46107.3,25192.7,0.0,37285.2,0.0,LOW,0,0
ACC-2026984,"Mendoza, Jomar",2,KAPATAGAN,YAMAHA,MIO SPORTY,Scooter,70900.0,14500.0,56400.0,2,24,1.48,83472.0,3478.0,19,5,0.792,39800.0,0.087,Private Corporate / Bank / Office Staff,Rented House / Apartment,4.2,Single,2,Field Agent Collector,PRIME_CONSISTENT,0,0,2,1,0,0.95,0.939,active,62777.9,200.0,62577.9,42282.36,14117.64,0.0,20894.11,0.0,LOW,0,0
ACC-2026985,"Aquino, Alexander",2,KAPATAGAN,YAMAHA,MIO GEAR 125,Scooter,77900.0,18100.0,59800.0,3,36,1.72,102856.0,2857.11,29,7,0.806,52000.0,0.055,BPO / Tech / Remote Specialist,Owned (Clean Land Title),20.0,Married,2,GCash / Maya,ADVANCE_PREPAYER,0,0,6,0,0,1.0344827586206897,1.0,active,85713.3,0.0,85713.3,49833.31,9966.69,0.0,17142.71,0.0,LOW,0,0
ACC-2026986,"Villanueva, Noel",2,KAPATAGAN,YAMAHA,NMAX 155,Maxi-Scooter,154900.0,30000.0,124900.0,1,12,1.26,157374.0,13114.5,3,9,0.25,32800.0,0.4,Micro-Business / Sari-Sari / Eatery Owner,Rented House / Apartment,4.3,Married,0,Field Agent Collector,SEVERE_DEFAULT_HAZARD,1,0,0,4,5,0.14,0.105,defaulted,5508.09,800.0,4708.09,3736.58,121163.42,66572.5,152665.91,0.0,LOW,1,0
ACC-2026987,"Retiza, Lito",1,LALA,HONDA,CLICK 160,Maxi-Scooter,135000.0,22800.0,112200.0,2,24,1.48,166056.0,6919.0,8,16,0.333,36500.0,0.19,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),4.3,Married,5,GCash / Maya,PRIME_CONSISTENT,0,0,8,0,0,1.0,0.954,active,55352.0,0.0,55352.0,37400.0,74800.0,0.0,94248.0,16456.0,LOW,0,0
ACC-2026988,"Salazar, Ramil",3,TUBOD,SUZUKI,SMASH 115,Underbone,60900.0,13700.0,47200.0,2,24,1.48,69856.0,2910.67,22,2,0.917,49300.0,0.059,BPO / Tech / Remote Specialist,Owned (Clean Land Title),7.2,Single,1,GCash / Maya,PRIME_CONSISTENT,1,0,19,0,0,1.0,0.958,active,64034.74,0.0,64034.74,43266.72,3933.28,0.0,5821.25,0.0,HIGH,0,1
ACC-2026989,"Macapagal, Rommel",1,LALA,KAWASAK,CLICK 125I,Scooter,83500.0,20800.0,62700.0,2,24,1.48,92796.0,3866.5,23,1,0.958,46200.0,0.084,Healthcare / Nurse / Medical Staff,Living with Parents / Family Compound,5.5,Single,4,Bank Transfer,SEVERE_DEFAULT_HAZARD,3,1,0,5,5,0.25,0.357,defaulted,22232.38,1000.0,21232.38,14346.2,48353.8,20332.5,71563.62,0.0,LOW,1,0
ACC-2026990,"De Leon, Jose",1,LALA,SUZUKI,RAIDER 150 FI,Underbone,118400.0,21900.0,96500.0,3,36,1.72,165980.0,4610.56,16,20,0.444,30300.0,0.152,Tricycle / Habal-Habal / Courier Driver,Owned (Clean Land Title),13.3,Single,3,Cash at Counter,PRIME_CONSISTENT,0,0,13,0,0,1.0,0.958,active,73768.96,0.0,73768.96,42888.93,53611.07,0.0,79344.38,12866.66,LOW,0,0
ACC-2026991,"Castillo, Cristina",1,LALA,HONDA,CT100B,Backbone/Tricycle,59000.0,7100.0,51900.0,2,24,1.48,76812.0,3200.5,24,0,1.0,26600.0,0.12,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),6.3,Single,0,Cash at Counter,PRIME_CONSISTENT,0,0,14,0,0,1.0,0.95,active,76812.0,0.0,76812.0,51900.0,0.0,0.0,0.0,0.0,HIGH,0,1
ACC-2026992,"Mercado, Marilou",3,TUBOD,HONDA,CT100B,Backbone/Tricycle,62000.0,15200.0,46800.0,3,36,1.72,80496.0,2236.0,3,33,0.083,69900.0,0.032,Government / Public Teacher / Uniformed,Rented House / Apartment,5.4,Married,2,Bank Transfer,PRIME_CONSISTENT,0,0,3,0,0,0.96,0.93,active,6439.68,0.0,6439.68,3744.0,43056.0,0.0,54250.56,19805.76,LOW,0,0
ACC-2026993,"Valdez, Maria",3,TUBOD,HONDA,CLICK 160,Maxi-Scooter,132000.0,16300.0,115700.0,1,12,1.26,145782.0,12148.5,3,9,0.25,24200.0,0.502,Private Corporate / Bank / Office Staff,Owned (Clean Land Title),3.1,Married,1,GCash / Maya,CHRONIC_OVERDUE,2,0,0,2,2,0.66,0.549,delinquent,24054.03,400.0,23654.03,18773.04,96926.96,24697.0,122127.97,0.0,LOW,1,0
ACC-2026994,"Retiza, Ramil",1,LALA,YAMAHA,MIO FAZZIO,Retro Scooter,95400.0,17300.0,78100.0,2,24,1.48,115588.0,4816.17,3,21,0.125,46600.0,0.103,Private Corporate / Bank / Office Staff,Informal Settler / Mortgaged / Tenant,2.0,Single,3,Cash at Counter,PRIME_CONSISTENT,0,0,4,1,0,0.95,0.939,active,13726.08,200.0,13526.08,9139.24,68960.76,0.0,86890.56,15171.36,LOW,0,0
ACC-2026995,"Retiza, Kenneth",1,LALA,YAMAHA,AEROX 155,Sport Scooter,122400.0,18200.0,104200.0,3,36,1.72,179224.0,4978.44,2,34,0.056,50200.0,0.099,Government / Public Teacher / Uniformed,Owned (Clean Land Title),4.9,Single,2,Field Agent Collector,ADVANCE_PREPAYER,0,0,5,0,0,2.5,1.0,active,24892.2,0.0,24892.2,14472.21,89727.79,0.0,113057.02,41274.78,LOW,0,0
ACC-2026996,"Aquino, Rolando",1,LALA,KAWASAKI,ROUSER NS125,Sport Backbone,83500.0,14300.0,69200.0,2,24,1.48,102416.0,4267.33,21,3,0.875,107500.0,0.04,OFW Remittance / Seafarer Family,Living with Parents / Family Compound,8.3,Married,5,Cash at Counter,PRIME_CONSISTENT,0,0,19,0,0,1.0,0.942,active,89613.93,0.0,89613.93,60549.95,8650.05,0.0,12802.07,0.0,LOW,0,0
ACC-2026997,"Mendoza, Kenneth",1,LALA,YAMAHA,MIO GEAR 125,Scooter,80900.0,20100.0,60800.0,1,12,1.26,76608.0,6384.0,1,11,0.083,50200.0,0.127,Government / Public Teacher / Uniformed,Rented House / Apartment,8.2,Married,1,GCash / Maya,ADVANCE_PREPAYER,0,0,2,0,0,2.0,1.0,active,12768.0,0.0,12768.0,10133.33,50666.67,0.0,63840.0,0.0,LOW,0,0
ACC-2026998,"Valdez, Melvin",3,TUBOD,HONDA,BEAT PREMIUM,Scooter,72400.0,10700.0,61700.0,2,24,1.48,91316.0,3804.83,21,3,0.875,38400.0,0.099,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,1.6,Single,2,GCash / Maya,PRIME_CONSISTENT,0,0,2,0,0,1.0,0.86,active,79901.43,0.0,79901.43,53987.45,7712.55,0.0,11414.57,0.0,LOW,0,0
ACC-2026999,"Navarro, Grace",3,TUBOD,HONDA,WAVE RSX,Underbone,64900.0,18100.0,46800.0,3,36,1.72,80496.0,2236.0,25,11,0.694,31100.0,0.072,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,7.7,Married,2,Cash at Counter,PRIME_CONSISTENT,0,0,10,0,0,1.0,0.947,active,55900.0,0.0,55900.0,32500.0,14300.0,0.0,24596.0,0.0,LOW,0,0
ACC-2027000,"Alcantara, Dante",2,KAPATAGAN,HONDA,BEAT PREMIUM,Scooter,72400.0,11400.0,61000.0,3,36,1.72,104920.0,2914.44,26,10,0.722,93200.0,0.031,OFW Remittance / Seafarer Family,Owned (Clean Land Title),4.0,Married,1,Cash at Counter,ADVANCE_PREPAYER,0,0,19,0,0,1.1153846153846154,1.0,active,84518.76,0.0,84518.76,49138.81,11861.19,0.0,20401.25,0.0,LOW,0,0
ACC-2027001,"Bautista, Maricel",1,LALA,YAMAHA,SNIPER 155,Sport Underbone,125400.0,25000.0,100400.0,2,24,1.48,148592.0,6191.33,15,9,0.625,55800.0,0.111,Healthcare / Nurse / Medical Staff,Owned (Clean Land Title),5.2,Single,2,GCash / Maya,PRIME_CONSISTENT,0,0,4,0,0,1.0,0.965,active,92869.95,0.0,92869.95,62749.97,37650.03,0.0,55722.04,0.0,LOW,0,0
ACC-2027002,"De Leon, Ramil",1,LALA,KAWASAK,P24KK,Backbone/Tricycle,62000.0,11100.0,50900.0,1,12,1.26,64134.0,5344.5,8,4,0.667,36700.0,0.146,Government / Public Teacher / Uniformed,Living with Parents / Family Compound,6.3,Married,2,Bank Transfer,ADVANCE_PREPAYER,0,0,12,0,0,1.5,1.0,active,64134.0,0.0,64134.0,50900.0,0.0,0.0,0.0,0.0,LOW,0,0
ACC-2027003,"Garcia, Rolando",2,KAPATAGAN,KAWASAKI,ROUSER NS125,Sport Backbone,79000.0,21800.0,57200.0,3,36,1.72,98384.0,2732.89,20,16,0.556,27400.0,0.1,Tricycle / Habal-Habal / Courier Driver,Living with Parents / Family Compound,3.9,Married,3,GCash / Maya,PRIME_CONSISTENT,0,0,3,1,0,0.98,0.83,active,53564.64,200.0,53364.64,31025.95,26174.05,0.0,38737.59,6281.78,LOW,0,0
ACC-2027004,"Reyes, Lito",2,KAPATAGAN,YAMAHA,MIO FAZZIO,Retro Scooter,95400.0,11800.0,83600.0,2,24,1.48,123728.0,5155.33,5,19,0.208,31200.0,0.165,Micro-Business / Sari-Sari / Eatery Owner,Owned (Clean Land Title),6.1,Single,3,Bank Transfer,PRIME_CONSISTENT,0,0,5,0,0,1.0,0.995,active,25776.65,0.0,25776.65,17416.66,66183.34,0.0,83391.01,14560.33,LOW,0,0
ACC-2027005,"De Leon, Rowena",2,KAPATAGAN,KAWASAKI,P24KK (BARAKO II),Backbone/Tricycle,70000.0,14400.0,55600.0,2,24,1.48,82288.0,3428.67,18,6,0.75,14500.0,0.236,Agriculture / Rice / Coconut Farmer,Owned (Clean Land Title),1.8,Single,1,Cash at Counter,PRIME_CONSISTENT,0,0,2,1,0,1.0,0.836,active,61716.06,200.0,61516.06,41564.91,14035.09,0.0,20771.93,0.0,LOW,0,0
ACC-2027006,"Bautista, Melvin",1,LALA,KAWASAK,CLICK 125I,Scooter,80500.0,9600.0,70900.0,1,12,1.26,89334.0,7444.5,12,0,1.0,52700.0,0.141,Government / Public Teacher / Uniformed,Informal Settler / Mortgaged / Tenant,9.2,Head of Household,4,Cash at Counter,PRIME_CONSISTENT,0,0,2,1,0,0.98,0.912,active,87547.32,200.0,87347.32,69323.27,1576.73,0.0,2333.56,0.0,LOW,0,0
ACC-2027007,"Lim, Arnel",3,TUBOD,KAWASAKI,P24KK (BARAKO II),Backbone/Tricycle,71500.0,10400.0,61100.0,1,12,1.26,76986.0,6415.5,6,6,0.5,102600.0,0.063,OFW Remittance / Seafarer Family,Living with Parents / Family Compound,3.3,Head of Household,2,Cash at Counter,PRIME_CONSISTENT,0,0,6,0,0,1.0,0.997,active,38493.0,0.0,38493.0,30550.0,30550.0,0.0,38493.0,0.0,LOW,0,0
ACC-2027008,"Navarro, Christian",1,LALA,HONDA,PCX160,Maxi-Scooter,132000.0,21800.0,110200.0,3,36,1.72,189544.0,5265.11,35,1,0.972,101000.0,0.052,OFW Remittance / Seafarer Family,Rented House / Apartment,11.3,Single,2,Cash at Counter,PRIME_CONSISTENT,0,0,11,0,0,1.0,0.945,active,184278.85,0.0,184278.85,107138.87,3061.13,0.0,5265.14,0.0,LOW,0,0
ACC-2027009,"Magno, Christian",1,LALA,YAMAHA,MIO GEAR 125,Scooter,76400.0,12000.0,64400.0,2,24,1.48,95312.0,3971.33,20,4,0.833,54600.0,0.073,Private Corporate / Bank / Office Staff,Rented House / Apartment,2.1,Single,0,Cash at Counter,PRIME_CONSISTENT,0,0,5,1,0,0.98,0.93,active,77838.07,200.0,77638.07,52458.16,11941.84,0.0,17673.92,0.0,LOW,0,0
ACC-2027010,"Reyes, Juan",2,KAPATAGAN,KAWASAKI,P24KK (BARAKO II),Backbone/Tricycle,71500.0,18700.0,52800.0,2,24,1.48,78144.0,3256.0,18,6,0.75,18300.0,0.178,Retail Store / Security / Service Crew,Living with Parents / Family Compound,9.8,Married,0,Bank Transfer,PRIME_CONSISTENT,1,0,5,1,0,0.95,0.913,active,55677.6,200.0,55477.6,37484.86,15315.14,0.0,22666.41,0.0,LOW,0,0
ACC-2027011,"Salazar, Ramil",1,LALA,KAWASAK,P24KK,Backbone/Tricycle,65000.0,8200.0,56800.0,2,24,1.48,84064.0,3502.67,19,5,0.792,65800.0,0.053,Government / Public Teacher / Uniformed,Owned (Clean Land Title),2.6,Married,4,Field Agent Collector,CHRONIC_OVERDUE,2,1,0,4,1,0.74,0.438,delinquent,49247.54,800.0,48447.54,32734.82,24065.18,3702.67,35616.47,0.0,LOW,1,0
